Weighting Option,Branch,Damping (%),Period,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10
original,3,5,1,5.7381579400E+00,-1.2921152000E-01,-3.2698620000E-01,-1.0993932600E+00,-6.2387400000E-03,3.5406000000E-04,4.2481038000E-01,5.1900586000E-01,4.9018046000E-01,1.5990965000E-01
original,4,5,1,6.2355053300E+00,-1.4599987000E-01,-3.3306068000E-01,-1.1780668700E+00,-5.6925000000E-03,3.2614000000E-04,3.8254066000E-01,5.4544066000E-01,1.1137466200E+00,-5.5123745000E-01
original,5,5,1,5.4990021000E+00,1.0532510000E-02,-3.2263226000E-01,-1.1880224900E+00,-4.4400500000E-03,1.9744000000E-04,-2.5472702000E-01,6.0306958000E-01,1.1203409500E+00,-6.2212650000E-01
original,1,5,1.5,7.0454211300E+00,-3.9876242000E-01,-3.5490018000E-01,-1.3139181800E+00,-6.7494000000E-03,5.2341000000E-04,7.6024401700E+00,1.4361585000E-01,5.0300376000E-01,3.1763516000E-01
original,2,5,1.5,5.1826198400E+00,-9.6550370000E-02,-3.4624755000E-01,-1.1491260600E+00,-5.9412100000E-03,3.8525000000E-04,3.9630783100E+00,2.1507360000E-01,3.3711880000E-01,3.0579465000E-01
original,3,5,1.5,3.8467447800E+00,2.7455740000E-02,-3.2380860000E-01,-1.0324540300E+00,-6.2925700000E-03,4.3765000000E-04,2.7794805000E-01,5.7179225000E-01,4.9418119000E-01,1.3598706000E-01
original,4,5,1.5,4.2134684000E+00,2.9289820000E-02,-3.2739811000E-01,-1.1103388800E+00,-6.0848100000E-03,4.2526000000E-04,1.9857936000E-01,6.3508052000E-01,1.1607638800E+00,-5.5474779000E-01
original,5,5,1.5,3.0752436900E+00,2.3952534000E-01,-3.0826470000E-01,-1.1196501900E+00,-5.1264000000E-03,3.1340000000E-04,1.3096327000E-01,6.9519543000E-01,1.1681174600E+00,-5.9512197000E-01
original,1,5,2,5.7956433900E+00,-3.0943597000E-01,-3.5921607000E-01,-1.2392484200E+00,-6.5570000000E-03,5.3865000000E-04,6.3056296800E+00,1.6553018000E-01,4.3811919000E-01,3.4944442000E-01
original,2,5,2,2.5820815900E+00,1.2068699000E-01,-3.2855245000E-01,-9.7762431000E-01,-5.9518300000E-03,4.3812000000E-04,1.1139364300E+00,3.7611609000E-01,1.5615894000E-01,3.5730889000E-01
original,3,5,2,1.9969128100E+00,2.1691680000E-01,-3.1027833000E-01,-1.0061790700E+00,-6.0930600000E-03,4.6926000000E-04,2.0070879000E-01,6.1802907000E-01,4.6971163000E-01,1.3748871000E-01
original,4,5,2,2.2646636000E+00,2.3452980000E-01,-3.1173257000E-01,-1.0865090400E+00,-6.0307700000E-03,4.6510000000E-04,1.1997863000E-01,7.0919341000E-01,1.1533375800E+00,-5.3655768000E-01
original,5,5,2,8.7514713000E-01,4.7741837000E-01,-2.8668064000E-01,-1.0961307200E+00,-5.2841600000E-03,3.7078000000E-04,8.3967910000E-02,7.6162696000E-01,1.1609775500E+00,-5.5621647000E-01
original,1,5,3,1.9826262800E+00,-2.1910550000E-02,-3.3924032000E-01,-9.2240692000E-01,-6.4971600000E-03,5.6641000000E-04,8.5676510000E-01,4.1411916000E-01,1.3457497000E-01,4.0818835000E-01
original,2,5,3,-1.0234866800E+00,5.0058272000E-01,-2.9141143000E-01,-9.0663697000E-01,-6.0272600000E-03,5.0088000000E-04,3.1093843000E-01,5.5467358000E-01,1.2480219000E-01,3.5911178000E-01
original,3,5,3,-1.1599065800E+00,5.6277631000E-01,-2.7820930000E-01,-9.9160888000E-01,-5.9449300000E-03,5.0353000000E-04,1.3725474000E-01,6.7677991000E-01,5.1076284000E-01,8.4799530000E-02
original,4,5,3,-1.0586691900E+00,6.0686870000E-01,-2.7588396000E-01,-1.0758284300E+00,-6.0613900000E-03,5.1376000000E-04,7.3274730000E-02,7.8757060000E-01,1.1958445100E+00,-5.4430284000E-01
original,5,5,3,-2.6533412200E+00,8.7600072000E-01,-2.4486678000E-01,-1.0908590500E+00,-5.5575600000E-03,4.4701000000E-04,6.3087060000E-02,8.1124515000E-01,1.2110870800E+00,-5.5256301000E-01
original,1,5,4,-5.1437906000E-01,2.3455466000E-01,-3.1448186000E-01,-8.7440681000E-01,-6.5750600000E-03,6.2843000000E-04,3.0257054000E-01,5.5352490000E-01,6.4715020000E-02,4.7509034000E-01
original,2,5,4,-3.5442936300E+00,7.7942837000E-01,-2.6053984000E-01,-9.1291966000E-01,-6.1936900000E-03,5.7992000000E-04,2.7507206000E-01,5.7256602000E-01,1.2949403000E-01,3.9766490000E-01
