rup_mag,rup_hypo_depth,dist_rhypo,site_vs30,site_xvf,result_type,damping,pga,0.1,0.2,0.5,1.0,2.0,5.0
7.5,135.0,180.0,900.0,-0.0,MEAN,5,6.81458714e-02,1.36175963e-01,1.57962639e-01,1.23284944e-01,7.51242253e-02,2.93524055e-02,4.84366020e-03
7.5,135.0,240.0,900.0,-60.0,MEAN,5,1.42488430e-02,2.21340136e-02,3.17617274e-02,4.00382617e-02,3.42757893e-02,1.74530630e-02,3.04169731e-03
7.5,135.0,300.0,900.0,-120.0,MEAN,5,6.05349368e-03,8.57030055e-03,1.32933065e-02,2.04292932e-02,1.99414282e-02,1.12885469e-02,1.91980603e-03
8.5,45.0,60.0,300.0,120.0,MEAN,5,4.39486670e-01,6.92790739e-01,9.36643677e-01,8.80944454e-01,5.56694418e-01,2.48220776e-01,7.45005103e-02
8.5,45.0,120.0,300.0,60.0,MEAN,5,1.96905927e-01,3.52517565e-01,4.76264002e-01,4.48416666e-01,2.96171674e-01,1.32120443e-01,3.87308918e-02
8.5,45.0,180.0,300.0,-0.0,MEAN,5,6.37455171e-02,1.07738635e-01,1.61011416e-01,1.87445069e-01,1.48914453e-01,7.45975027e-02,2.20894354e-02
8.5,45.0,240.0,300.0,-60.0,MEAN,5,1.45954530e-02,1.97848999e-02,3.62113393e-02,6.50733044e-02,7.12872713e-02,4.59313199e-02,1.43111000e-02
8.5,45.0,300.0,300.0,-120.0,MEAN,5,6.44933914e-03,8.01369525e-03,1.58171471e-02,3.43183950e-02,4.26682169e-02,3.04685138e-02,9.25088042e-03
8.5,45.0,60.0,600.0,120.0,MEAN,5,4.56230817e-01,9.37283122e-01,1.13142073e+00,7.00319457e-01,3.57363313e-01,1.50315665e-01,4.92884738e-02
8.5,45.0,120.0,600.0,60.0,MEAN,5,1.70856840e-01,3.63962522e-01,4.25263151e-01,3.00322217e-01,1.75273494e-01,7.90194849e-02,2.56238050e-02
8.5,45.0,180.0,600.0,-0.0,MEAN,5,4.99902990e-02,9.45353121e-02,1.22191966e-01,1.15531601e-01,8.47774703e-02,4.43521418e-02,1.46140550e-02
8.5,45.0,240.0,600.0,-60.0,MEAN,5,1.10320179e-02,1.63288654e-02,2.59365265e-02,3.89955056e-02,4.00590872e-02,2.72542617e-02,9.46801940e-03
8.5,45.0,300.0,600.0,-120.0,MEAN,5,4.84528784e-03,6.54681639e-03,1.12225522e-02,2.04725863e-02,2.39268504e-02,1.80733181e-02,6.12025038e-03
8.5,45.0,60.0,900.0,120.0,MEAN,5,4.29472267e-01,1.00418979e+00,1.03265687e+00,5.16599272e-01,2.54530125e-01,1.10729447e-01,3.87074873e-02
8.5,45.0,120.0,900.0,60.0,MEAN,5,1.50733592e-01,3.48796636e-01,3.62674547e-01,2.21536382e-01,1.24837617e-01,5.82093945e-02,2.01230233e-02
8.5,45.0,180.0,900.0,-0.0,MEAN,5,4.27471522e-02,8.56830258e-02,1.00918226e-01,8.52233083e-02,6.03823037e-02,3.26718318e-02,1.14767877e-02
8.5,45.0,240.0,900.0,-60.0,MEAN,5,9.33472645e-03,1.45192438e-02,2.11920855e-02,2.87655149e-02,2.85318725e-02,2.00767452e-02,7.43547553e-03
